RUC,RAZON_SOCIAL,SUNAT_DEPARTAMENTO,SUNAT_PROVINCIA,SUNAT_DISTRITO,segmento_riesgo_final,nivel_riesgo,promedio_dias_atraso,maximo_dias_atraso,tendencia_creciente,tiene_ficha_maestro_clientes,status_regulatorio,alertas_regulatorias,facturas_pendientes_revision,accion_cobro_sugerida
1001951138,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1002033932,,,,,BAJO,BAJO,1.0,1.0,False,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,Mantener ciclo de facturación estándar; sin acción de cobranza adicional.
1002436750,CLIENT_00326,HUANUCO,Huánuco,Huanuco,BAJO,BAJO,0.5,1.0,False,True,OK,[],0,Mantener ciclo de facturación estándar; sin acción de cobranza adicional.
1003385935,CLIENT_00953,LIMA,Lima,San Isidro,BAJO,BAJO,-9.8,-3.0,False,True,OK,[],0,Mantener ciclo de facturación estándar; sin acción de cobranza adicional.
1011628152,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1013794712,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1018052829,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1018362944,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1021456215,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1021589348,CLIENT_00084,JUNIN,Huancayo,Huancayo,BAJO,BAJO,-3.5,-2.0,False,True,OK,[],0,Mantener ciclo de facturación estándar; sin acción de cobranza adicional.
1029634589,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1031024653,CLIENT_00975,LA LIBERTAD,Trujillo,Trujillo,BAJO,BAJO,-3.2,5.0,False,True,OK,[],0,Mantener ciclo de facturación estándar; sin acción de cobranza adicional.
1033919058,CLIENT_00092,ICA,Pisco,San Andrés,SIN_HISTORIAL_DE_FACTURACION,,,,,True,OK,[],0,
1035693468,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1036454956,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1038544262,CLIENT_00966,LIMA,Lima,Jesús María,BAJO,BAJO,-3.5,-2.0,False,True,OK,[],0,Mantener ciclo de facturación estándar; sin acción de cobranza adicional.
1038807829,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1041175895,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1042311948,CLIENT_00722,LIMA,Lima,Independencia,BAJO,BAJO,-3.5,-2.0,True,True,OK,[],0,Mantener ciclo de facturación estándar; sin acción de cobranza adicional.
1042862786,CLIENT_00787,LIMA,Lima,Miraflores,BAJO,BAJO,3.0,18.0,False,True,OK,[],1,Mantener ciclo de facturación estándar; sin acción de cobranza adicional.
1048743727,CLIENT_00498,LA LIBERTAD,Trujillo,El Porvenir,BAJO,BAJO,0.9,5.0,False,True,OK,[],1,Mantener ciclo de facturación estándar; sin acción de cobranza adicional.
1049488348,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1051818896,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1052406684,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1054565272,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1063933116,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1064650265,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1069969731,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1070278631,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
1071719080,,,,,SIN_HISTORIAL_DE_FACTURACION,,,,,False,ALERTA — REVISIÓN HUMANA,['Cliente no encontrado en el maestro SUNAT (001_TBL_CLIENTES_B2B) -- no se puede validar SUNAT/Osiptel para este RUC.'],0,
