RUC,SEGMENTO_PAIS,TIPO_DOCUMENTO,RAZON_SOCIAL,SUNAT_ESTADO_RUC,SUNAT_ESTADO_CONTRIBUYENTE,SUNAT_DEPARTAMENTO,SUNAT_PROVINCIA,SUNAT_DISTRITO,lineas_fijas_activas,lineas_fijas_totales,lineas_movil_activas,lineas_movil_totales,alertas_regulatorias,status_regulatorio,tiene_ficha_maestro_clientes,nota
2042422772,SEGMENTO_002,RUC,CLIENT_00369,HABIDO,ACTIVO,LIMA,Lima,San Isidro,6.0,6.0,0.0,0.0,[],OK,True,La consulta a Osiptel es un MOCK (sin dataset propio); el estado SUNAT y el estado de línea sí provienen de datos reales del dataset.
2006917349,SEGMENTO_002,RUC,CLIENT_00708,HABIDO,ACTIVO,LIMA,Lima,Miraflores,0.0,0.0,0.0,0.0,[],OK,True,La consulta a Osiptel es un MOCK (sin dataset propio); el estado SUNAT y el estado de línea sí provienen de datos reales del dataset.
2094402346,SEGMENTO_004,RUC,CLIENT_00137,HABIDO,ACTIVO,LIMA,Lima,San Isidro,0.0,0.0,0.0,0.0,[],OK,True,La consulta a Osiptel es un MOCK (sin dataset propio); el estado SUNAT y el estado de línea sí provienen de datos reales del dataset.
2088958700,SEGMENTO_004,RUC,CLIENT_00840,HABIDO,ACTIVO,LIMA,Lima,Chorrillos,0.0,0.0,0.0,0.0,[],OK,True,La consulta a Osiptel es un MOCK (sin dataset propio); el estado SUNAT y el estado de línea sí provienen de datos reales del dataset.
2047770405,SEGMENTO_004,RUC,CLIENT_00867,HABIDO,ACTIVO,PUNO,Puno,Puno,1.0,1.0,0.0,0.0,[],OK,True,La consulta a Osiptel es un MOCK (sin dataset propio); el estado SUNAT y el estado de línea sí provienen de datos reales del dataset.
2044349038,SEGMENTO_004,RUC,CLIENT_00549,HABIDO,ACTIVO,LIMA,Lima,Santiago de Surco,0.0,0.0,0.0,0.0,[],OK,True,La consulta a Osiptel es un MOCK (sin dataset propio); el estado SUNAT y el estado de línea sí provienen de datos reales del dataset.
2074327800,SEGMENTO_004,RUC,CLIENT_00822,HABIDO,ACTIVO,CAJAMARCA,Jaén,Jaén,2.0,2.0,0.0,0.0,[],OK,True,La consulta a Osiptel es un MOCK (sin dataset propio); el estado SUNAT y el estado de línea sí provienen de datos reales del dataset.
2037154486,SEGMENTO_004,RUC,CLIENT_00895,HABIDO,ACTIVO,JUNIN,Yauli,Santa Rosa de Sacco,0.0,1.0,0.0,0.0,['Todas sus líneas (fija/móvil) están inactivas o suspendidas'],ALERTA — REVISIÓN HUMANA,True,La consulta a Osiptel es un MOCK (sin dataset propio); el estado SUNAT y el estado de línea sí provienen de datos reales del dataset.
2054712522,SEGMENTO_004,RUC,CLIENT_00762,HABIDO,ACTIVO,LIMA,Lima,San Borja,0.0,0.0,0.0,0.0,[],OK,True,La consulta a Osiptel es un MOCK (sin dataset propio); el estado SUNAT y el estado de línea sí provienen de datos reales del dataset.
2053937831,SEGMENTO_004,RUC,CLIENT_00322,HABIDO,ACTIVO,LIMA,Lima,Lurigancho,1.0,1.0,0.0,0.0,[],OK,True,La consulta a Osiptel es un MOCK (sin dataset propio); el estado SUNAT y el estado de línea sí provienen de datos reales del dataset.
